Type;Name;Country Code;Area (km²);1990;2000;2010;2011;2012;2013;2014;2015;2016;2017;2018
Country;Namibia;NAM;825418;1432905;1794571;2118874;2156701;2194784;2233510;2273430;2314904;2358041;2402603;2448255
Country;Nauru;NRU;21;9505;10337;10005;10057;10279;10821;11853;12475;13049;12876;12704
Country;Nepal;NPL;147181;18905478;23941110;27013212;27041437;26989862;26917906;26906926;27015031;27261131;27627124;28087871
Country;Netherlands;NLD;41526;14951510;15925513;16615394;16693074;16754962;16804432;16865008;16939923;17030314;17131296;17231017
Country;New Caledonia;NCL;19060;170899;213230;249750;254350;259000;263650;268050;272400;276550;280350;284060
Country;New Zealand;NZL;268680;3329800;3857700;4350700;4384000;4408100;4442100;4509700;4595700;4693200;4793900;4885500
Country;Nicaragua;NIC;129494;4173434;5069302;5824065;5903039;5982526;6062454;6142733;6223240;6303974;6384855;6465513
Country;Niger;NER;1267000;8026591;11331557;16464025;17114761;17795191;18504255;19240157;20001663;20788838;21602472;22442948
Country;Nigeria;NGA;923768;95212450;122283850;158503197;162805071;167228767;171765769;176404902;181137448;185960289;190873311;195874740
Country;North Macedonia;MKD;25713;1996228;2034819;2070741;2072487;2074278;2076067;2077775;2079328;2080745;2081996;2082958
Country;Northern Mariana Islands;MNP;477;45752;57453;53971;54012;54311;54784;55305;55780;56188;56562;56882
Country;Norway;NOR;323802;4241473;4490967;4889252;4953088;5018573;5079623;5137232;5188607;5234519;5276968;5314336
Country;Oman;OMN;212460;1812161;2267973;3041434;3251108;3498029;3764805;4027260;4267348;4479219;4665935;4829483
Country;Pakistan;PAK;803940;107647921;142343578;179424641;183340592;187281475;191262919;195306825;199426964;203627284;207896686;212215030
Country;Palau;PLW;458;15058;19105;17955;17745;17640;17606;17626;17665;17725;17808;17907
Country;Panama;PAN;78200;2470947;3030328;3642687;3706483;3770624;3835437;3901315;3968487;4037078;4106771;4176873
Country;Papua New Guinea;PNG;462840;4615839;5847586;7310507;7472200;7631002;7788379;7946731;8107775;8271760;8438029;8606316
Country;Paraguay;PRY;406750;4223415;5323201;6248020;6333976;6421512;6510276;6599526;6688746;6777872;6867062;6956071
